epsilon,dp_accuracy,lambda,accuracy,size
0.1,0.396575,0.001,0.687825,160000
0.08,0.358625,0.001,0.687825,160000
0.05,0.26955,0.001,0.687825,160000
0.01,0.164275,0.001,0.687825,160000
0.005,0.087175,0.001,0.687825,160000
0.001,0.0707,0.001,0.687825,160000
1.0,0.69748,10.0,0.69749,400000
0.8,0.69748,10.0,0.69749,400000
0.5,0.69749,10.0,0.69749,400000
0.1,0.69747,10.0,0.69749,400000
0.08,0.69748,10.0,0.69749,400000
0.05,0.69748,10.0,0.69749,400000
0.01,0.69748,10.0,0.69749,400000
0.005,0.69746,10.0,0.69749,400000
0.001,0.69773,10.0,0.69749,400000
1.0,0.69745,2.0,0.69748,400000
0.8,0.69744,2.0,0.69748,400000
0.5,0.69745,2.0,0.69748,400000
0.1,0.69747,2.0,0.69748,400000
0.08,0.69746,2.0,0.69748,400000
0.05,0.69745,2.0,0.69748,400000
0.01,0.69733,2.0,0.69748,400000
0.005,0.69737,2.0,0.69748,400000
0.001,0.69681,2.0,0.69748,400000
1.0,0.69768,1.0,0.69768,400000
0.8,0.69768,1.0,0.69768,400000
0.5,0.69771,1.0,0.69768,400000
0.1,0.69763,1.0,0.69768,400000
0.08,0.69766,1.0,0.69768,400000
0.05,0.69766,1.0,0.69768,400000
0.01,0.69818,1.0,0.69768,400000
0.005,0.69853,1.0,0.69768,400000
0.001,0.69446,1.0,0.69768,400000
1.0,0.69759,0.1,0.69758,400000
0.8,0.69768,0.1,0.69758,400000
0.5,0.69758,0.1,0.69758,400000
0.1,0.69764,0.1,0.69758,400000
0.08,0.69776,0.1,0.69758,400000
0.05,0.69802,0.1,0.69758,400000
0.01,0.6954,0.1,0.69758,400000
0.005,0.69492,0.1,0.69758,400000
0.001,0.59759,0.1,0.69758,400000
1.0,0.69749,0.05,0.69747,400000
0.8,0.69755,0.05,0.69747,400000
0.5,0.69783,0.05,0.69747,400000
0.1,0.69774,0.05,0.69747,400000
0.08,0.69801,0.05,0.69747,400000
0.05,0.69856,0.05,0.69747,400000
0.01,0.6951,0.05,0.69747,400000
0.005,0.68295,0.05,0.69747,400000
0.001,0.55366,0.05,0.69747,400000
1.0,0.69651,0.01,0.69655,400000
0.8,0.69653,0.01,0.69655,400000
0.5,0.69594,0.01,0.69655,400000
0.1,0.69616,0.01,0.69655,400000
0.08,0.69389,0.01,0.69655,400000
0.05,0.67372,0.01,0.69655,400000
0.01,0.60929,0.01,0.69655,400000
0.005,0.55594,0.01,0.69655,400000
0.001,0.27757,0.01,0.69655,400000
1.0,0.69539,0.001,0.69246,400000
0.8,0.69497,0.001,0.69246,400000
0.5,0.69355,0.001,0.69246,400000
0.1,0.62969,0.001,0.69246,400000
0.08,0.58283,0.001,0.69246,400000
0.05,0.54261,0.001,0.69246,400000
0.01,0.29774,0.001,0.69246,400000
